title,genres,age,rating
"$1,000,000 Duck (1971)",Children's|Comedy,31.16216216216216,3.027027027027027
'Night Mother (1986),Drama,33.27142857142857,3.3714285714285714
'Til There Was You (1997),Drama|Romance,28.826923076923077,2.6923076923076925
"'burbs, The (1989)",Comedy,27.897689768976896,2.910891089108911
...And Justice for All (1979),Drama|Thriller,35.984924623115575,3.71356783919598
1-900 (1994),Romance,40.5,2.5
10 Things I Hate About You (1999),Comedy|Romance,23.627142857142857,3.422857142857143
101 Dalmatians (1961),Animation|Children's,28.48141592920354,3.5964601769911506
101 Dalmatians (1996),Children's|Comedy,28.197802197802197,3.0467032967032965
12 Angry Men (1957),Drama,32.49837662337662,4.295454545454546
"13th Warrior, The (1999)",Action|Horror|Thriller,27.254666666666665,3.1586666666666665
187 (1997),Drama,27.4,2.7454545454545456
2 Days in the Valley (1996),Crime,28.88111888111888,3.2832167832167833
20 Dates (1998),Comedy,26.805755395683452,2.856115107913669
"20,000 Leagues Under the Sea (1954)",Adventure|Children's|Fantasy|Sci-Fi,34.29391304347826,3.7026086956521738
200 Cigarettes (1999),Comedy|Drama,25.790055248618785,2.883977900552486
2001: A Space Odyssey (1968),Drama|Mystery|Sci-Fi|Thriller,32.07342657342657,4.068764568764569
2010 (1984),Mystery|Sci-Fi,31.176595744680853,3.4170212765957446
24 7: Twenty Four Seven (1997),Comedy|Drama,36.0,4.0
24-hour Woman (1998),Drama,32.666666666666664,1.7777777777777777
28 Days (2000),Comedy,27.887128712871288,3.0653465346534654
3 Ninjas: High Noon On Mega Mountain (1998),Action|Children's,23.872340425531913,1.3617021276595744
3 Strikes (2000),Comedy,28.25,2.75
"301, 302 (1995)",Mystery,30.88888888888889,2.888888888888889
"39 Steps, The (1935)",Thriller,36.533596837944664,4.075098814229249
"400 Blows, The (Les Quatre cents coups) (1959)",Drama,34.17112299465241,4.320855614973262
42 Up (1998),Documentary,34.95454545454545,4.2272727272727275
52 Pick-Up (1986),Action|Mystery|Thriller,37.57142857142857,3.3
54 (1998),Drama,24.254826254826256,2.7644787644787643
"7th Voyage of Sinbad, The (1958)",Action|Adventure|Fantasy,33.46511627906977,3.616279069767442
8 1/2 (1963),Drama,36.34649122807018,4.105263157894737
8 1/2 Women (1999),Comedy,32.12244897959184,2.4693877551020407
8 Heads in a Duffel Bag (1997),Comedy,28.606896551724137,2.317241379310345
8 Seconds (1994),Drama,26.833333333333332,3.3194444444444446
8MM (1999),Thriller,29.19485294117647,2.863970588235294
A Chef in Love (1996),Comedy,37.75,3.5833333333333335
Abbott and Costello Meet Frankenstein (1948),Comedy|Horror,35.46601941747573,3.441747572815534
"Abominable Snowman, The (1957)",Horror|Sci-Fi,44.111111111111114,2.6666666666666665
About Adam (2000),Comedy,26.6,3.1
About Last Night... (1986),Comedy|Drama|Romance,31.153374233128833,3.1564417177914113
Above the Rim (1994),Drama,24.836734693877553,3.020408163265306
"Absent Minded Professor, The (1961)",Children's|Comedy|Fantasy,33.18157894736842,3.4526315789473685
Absolute Power (1997),Mystery|Thriller,32.28157894736842,3.357894736842105
"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller,29.447813411078716,3.6839650145772596
Ace Ventura: Pet Detective (1994),Comedy,27.4177545691906,3.1488250652741514
Ace Ventura: When Nature Calls (1995),Comedy,26.64781491002571,2.480719794344473
Aces: Iron Eagle III (1992),Action|War,30.504,1.64
"Acid House, The (1998)",Comedy|Drama,22.428571428571427,2.7142857142857144
Across the Sea of Time (1995),Documentary,28.875,3.5
Action Jackson (1988),Action|Comedy,28.886486486486486,2.254054054054054
"Actor's Revenge, An (Yukinojo Henge) (1963)",Drama,35.42857142857143,3.2857142857142856
Addams Family Values (1993),Comedy,27.82721382289417,2.9071274298056156
"Addams Family, The (1991)",Comedy,28.11904761904762,3.169467787114846
Addicted to Love (1997),Comedy|Romance,28.7875,3.1
"Addiction, The (1995)",Horror,29.536231884057973,3.0
Adrenalin: Fear the Rush (1996),Action|Sci-Fi,22.363636363636363,1.5454545454545454
Adventures in Babysitting (1987),Adventure|Comedy,27.55268022181146,3.2754158964879854
"Adventures of Buckaroo Bonzai Across the 8th Dimension, The (1984)",Adventure|Comedy|Sci-Fi,31.585924713584287,3.3878887070376433
"Adventures of Elmo in Grouchland, The (1999)",Children's|Comedy,24.303030303030305,2.242424242424242
"Adventures of Milo and Otis, The (1986)",Children's,27.19277108433735,3.3674698795180724
"Adventures of Pinocchio, The (1996)",Adventure|Children's,27.796296296296298,2.9074074074074074
"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,30.931769722814497,3.8059701492537314
"Adventures of Robin Hood, The (1938)",Action|Adventure,34.595238095238095,3.9735449735449735
"Adventures of Rocky and Bullwinkle, The (2000)",Animation|Children's|Comedy,27.849514563106798,2.495145631067961
"Adventures of Sebastian Cole, The (1998)",Comedy|Drama,30.060606060606062,3.515151515151515
"Affair of Love, An (Une Liaison Pornographique) (1999)",Drama|Romance,36.8974358974359,3.6666666666666665
"Affair to Remember, An (1957)",Romance,34.83068783068783,3.9523809523809526
Affliction (1997),Drama,31.12121212121212,3.611111111111111
"African Queen, The (1951)",Action|Adventure|Romance|War,36.44560075685904,4.251655629139073
After Life (1998),Drama,33.22549019607843,4.088235294117647
Afterglow (1997),Drama|Romance,35.048780487804876,3.1097560975609757
Against All Odds (1984),Romance,33.34586466165413,3.2481203007518795
"Age of Innocence, The (1993)",Drama,31.972881355932202,3.559322033898305
Agnes Browne (1999),Comedy|Drama,36.5,3.323529411764706
Agnes of God (1985),Drama|Mystery,34.96376811594203,3.380434782608696
Aimée & Jaguar (1999),Drama|Romance,28.2,3.65
Aiqing wansui (1994),Drama,1.0,3.0
Air America (1990),Action|Comedy,30.88235294117647,2.7549019607843137
Air Bud (1997),Children's|Comedy,26.410714285714285,2.4910714285714284
Air Bud: Golden Receiver (1998),Children's|Comedy,26.391304347826086,2.1159420289855073
Air Force One (1997),Action|Thriller,29.13197026022305,3.5882899628252787
"Air Up There, The (1994)",Comedy,24.122222222222224,2.6555555555555554
Airheads (1994),Comedy,23.706122448979592,2.5306122448979593
Airplane II: The Sequel (1982),Comedy,29.379928315412187,2.9802867383512543
Airplane! (1980),Comedy,30.032351242056613,3.9711149624494513
Airport '77 (1977),Drama,37.063291139240505,2.3544303797468356
Airport (1970),Drama,37.59217877094972,3.1452513966480447
Airport 1975 (1974),Drama,37.17857142857143,2.630952380952381
Akira (1988),Adventure|Animation|Sci-Fi|Thriller,25.283185840707965,3.933628318584071
Aladdin (1992),Animation|Children's|Comedy|Musical,26.297557364914876,3.788304959289415
Aladdin and the King of Thieves (1996),Animation|Children's|Comedy,24.33492822966507,2.8947368421052633
"Alan Smithee Film: Burn Hollywood Burn, An (1997)",Comedy,25.58823529411765,2.0
"Alarmist, The (1997)",Comedy,28.875,2.625
Alaska (1996),Adventure|Children's,28.186046511627907,3.395348837209302
Albino Alligator (1996),Crime|Thriller,26.93617021276596,2.851063829787234
Algiers (1938),Drama|Romance,40.9375,3.75
Alice and Martin (Alice et Martin) (1998),Drama,31.142857142857142,2.9285714285714284
Alice in Wonderland (1951),Animation|Children's|Musical,27.21904761904762,3.697142857142857
Alien (1979),Action|Horror|Sci-Fi|Thriller,30.60573122529644,4.159584980237154
Alien Escape (1995),Horror|Sci-Fi,35.6,2.55
Alien Nation (1988),Crime|Drama|Sci-Fi,30.66468253968254,3.2242063492063493
Alien: Resurrection (1997),Action|Horror|Sci-Fi,28.514762516046215,2.958921694480103
Aliens (1986),Action|Sci-Fi|Thriller|War,29.657692307692308,4.125824175824176
Alien³ (1992),Action|Horror|Sci-Fi|Thriller,29.086486486486486,3.037837837837838
Alive (1993),Drama,26.62568306010929,3.401639344262295
All About Eve (1950),Drama,34.535980148883375,4.255583126550868
All About My Mother (Todo Sobre Mi Madre) (1999),Comedy|Drama,30.741116751269036,4.086294416243655
All Dogs Go to Heaven (1989),Animation|Children's,24.372093023255815,2.869767441860465
All Dogs Go to Heaven 2 (1996),Animation|Children's|Musical,25.8,2.08
All Over Me (1997),Drama,23.238095238095237,3.6666666666666665
All Quiet on the Western Front (1930),War,34.18283582089552,4.1940298507462686
All That Jazz (1979),Musical,36.83280757097792,3.823343848580442
All Things Fair (1996),Drama,34.333333333333336,3.3333333333333335
All the King's Men (1949),Drama,40.80672268907563,4.033613445378151
All the Rage (a.k.a. It's the Rage) (1999),Drama,27.333333333333332,3.3333333333333335
All the Vermeers in New York (1990),Comedy|Drama|Romance,33.851851851851855,3.037037037037037
Allan Quartermain and the Lost City of Gold (1987),Action|Adventure,31.401459854014597,2.051094890510949
"Alley Cats, The (1968)",Drama,1.0,4.0
Alligator (1980),Action|Horror|Sci-Fi,30.176470588235293,2.235294117647059
"Allnighter, The (1987)",Comedy|Romance,29.285714285714285,1.8571428571428572
Almost Famous (2000),Comedy|Drama,28.183098591549296,4.22635814889336
Almost Heroes (1998),Adventure|Comedy,21.333333333333332,2.4833333333333334
Alphaville (1965),Sci-Fi,32.671875,3.359375
Alvarez Kelly (1966),Western,45.857142857142854,3.3214285714285716
Amadeus (1984),Drama,31.873371924746746,4.251808972503618
Amateur (1994),Crime|Drama|Thriller,28.659574468085108,3.7872340425531914
"Amazing Panda Adventure, The (1995)",Adventure|Children's,22.88888888888889,2.888888888888889
American Beauty (1999),Comedy|Drama,29.615227537922987,4.3173862310385065
American Buffalo (1996),Drama,32.81666666666667,3.1666666666666665
American Dream (1990),Documentary,35.05555555555556,3.7222222222222223
American Flyers (1985),Drama,30.97938144329897,3.329896907216495
American Gigolo (1980),Drama,33.847457627118644,3.169491525423729
American Graffiti (1973),Comedy|Drama,33.862626262626264,4.026262626262627
American History X (1998),Drama,25.28125,4.2265625
American Movie (1999),Documentary,27.345762711864406,4.013559322033898
American Pie (1999),Comedy,25.16414686825054,3.7098632109431247
American Pimp (1999),Documentary,27.262295081967213,3.3114754098360657
American Pop (1981),Animation|Musical,30.25,3.0714285714285716
"American President, The (1995)",Comedy|Drama|Romance,30.55372700871249,3.7938044530493706
American Psycho (2000),Comedy|Horror|Thriller,26.063492063492063,3.219047619047619
American Strays (1996),Action,26.5,2.0
"American Tail, An (1986)",Animation|Children's|Comedy,26.225247524752476,3.4282178217821784
"American Tail: Fievel Goes West, An (1991)",Animation|Children's|Comedy,25.328358208955223,2.8308457711442787
"American Werewolf in London, An (1981)",Horror,30.05646630236794,3.7522768670309654
"American Werewolf in Paris, An (1997)",Comedy|Horror,27.633962264150945,2.7547169811320753
"American in Paris, An (1951)",Musical|Romance,36.034985422740526,3.8513119533527695
Amistad (1997),Drama,30.45868945868946,3.717948717948718
Amityville 1992: It's About Time (1992),Horror,31.0625,1.71875
Amityville 3-D (1983),Horror,30.906976744186046,1.372093023255814
"Amityville Curse, The (1990)",Horror,32.68,1.84
